"","ID","Gene_Symbol","Gene_Title","Entrez_Gene_ID"
"HEEBO-002-CTRL2K20","HEEBO-002-CTRL2K20","TLN1","talin 1",7094
"HEEBO-002-CTRL2K21","HEEBO-002-CTRL2K21","EEF2","eukaryotic translation elongation factor 2",1938
"HEEBO-002-CTRL2K22","HEEBO-002-CTRL2K22","TLN1","talin 1",7094
"HEEBO-002-CTRL2K23","HEEBO-002-CTRL2K23","EEF2","eukaryotic translation elongation factor 2",1938
"HEEBO-002-CTRL2K24","HEEBO-002-CTRL2K24","TLN1","talin 1",7094
"HEEBO-002-CTRL2K4","HEEBO-002-CTRL2K4","POLR2A","polymerase (RNA) II (DNA directed) polypeptide A, 220kDa",5430
"HEEBO-002-CTRL2K7","HEEBO-002-CTRL2K7","POLR2A","polymerase (RNA) II (DNA directed) polypeptide A, 220kDa",5430
"HEEBO-002-CTRL2K8","HEEBO-002-CTRL2K8","GAPDH","glyceraldehyde-3-phosphate dehydrogenase",2597
"HEEBO-002-CTRL2L1","HEEBO-002-CTRL2L1","GSN","gelsolin",2934
"HEEBO-002-CTRL2L10","HEEBO-002-CTRL2L10","POLR2A","polymerase (RNA) II (DNA directed) polypeptide A, 220kDa",5430
"HEEBO-002-CTRL2L11","HEEBO-002-CTRL2L11","GAPDH","glyceraldehyde-3-phosphate dehydrogenase",2597
"HEEBO-002-CTRL2L13","HEEBO-002-CTRL2L13","POLR2A","polymerase (RNA) II (DNA directed) polypeptide A, 220kDa",5430
"HEEBO-002-CTRL2L14","HEEBO-002-CTRL2L14","GAPDH","glyceraldehyde-3-phosphate dehydrogenase",2597
"HEEBO-002-CTRL2L16","HEEBO-002-CTRL2L16","POLR2A","polymerase (RNA) II (DNA directed) polypeptide A, 220kDa",5430
"HEEBO-002-CTRL2L17","HEEBO-002-CTRL2L17","GAPDH","glyceraldehyde-3-phosphate dehydrogenase",2597
"HEEBO-002-CTRL2L18","HEEBO-002-CTRL2L18","TLN1","talin 1",7094
"HEEBO-002-CTRL2L19","HEEBO-002-CTRL2L19","EEF2","eukaryotic translation elongation factor 2",1938
"HEEBO-002-CTRL2L2","HEEBO-002-CTRL2L2","EEF2","eukaryotic translation elongation factor 2",1938
"HEEBO-002-CTRL2L20","HEEBO-002-CTRL2L20","VIM","vimentin",7431
"HEEBO-002-CTRL2L21","HEEBO-002-CTRL2L21","CTSD","cathepsin D",1509
"HEEBO-002-CTRL2L23","HEEBO-002-CTRL2L23","CTSD","cathepsin D",1509
"HEEBO-002-CTRL2L24","HEEBO-002-CTRL2L24","VIM","vimentin",7431
"HEEBO-002-CTRL2L3","HEEBO-002-CTRL2L3","VIM","vimentin",7431
"HEEBO-002-CTRL2L4","HEEBO-002-CTRL2L4","GSN","gelsolin",2934
"HEEBO-002-CTRL2L5","HEEBO-002-CTRL2L5","EEF2","eukaryotic translation elongation factor 2",1938
"HEEBO-002-CTRL2L6","HEEBO-002-CTRL2L6","VIM","vimentin",7431
"HEEBO-002-CTRL2L8","HEEBO-002-CTRL2L8","EEF2","eukaryotic translation elongation factor 2",1938
"HEEBO-002-CTRL2M1","HEEBO-002-CTRL2M1","TLN1","talin 1",7094
"HEEBO-002-CTRL2M11","HEEBO-002-CTRL2M11","TLN1","talin 1",7094
"HEEBO-002-CTRL2M12","HEEBO-002-CTRL2M12","TLN1","talin 1",7094
"HEEBO-002-CTRL2M13","HEEBO-002-CTRL2M13","POLR2A","polymerase (RNA) II (DNA directed) polypeptide A, 220kDa",5430
"HEEBO-002-CTRL2M14","HEEBO-002-CTRL2M14","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2M15","HEEBO-002-CTRL2M15","TLN1","talin 1",7094
"HEEBO-002-CTRL2M16","HEEBO-002-CTRL2M16","POLR2A","polymerase (RNA) II (DNA directed) polypeptide A, 220kDa",5430
"HEEBO-002-CTRL2M17","HEEBO-002-CTRL2M17","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2M18","HEEBO-002-CTRL2M18","TLN1","talin 1",7094
"HEEBO-002-CTRL2M19","HEEBO-002-CTRL2M19","POLR2A","polymerase (RNA) II (DNA directed) polypeptide A, 220kDa",5430
"HEEBO-002-CTRL2M2","HEEBO-002-CTRL2M2","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2M20","HEEBO-002-CTRL2M20","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2M21","HEEBO-002-CTRL2M21","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2M22","HEEBO-002-CTRL2M22","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2M23","HEEBO-002-CTRL2M23","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2M24","HEEBO-002-CTRL2M24","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2M3","HEEBO-002-CTRL2M3","POLR2A","polymerase (RNA) II (DNA directed) polypeptide A, 220kDa",5430
"HEEBO-002-CTRL2M4","HEEBO-002-CTRL2M4","TLN1","talin 1",7094
"HEEBO-002-CTRL2M5","HEEBO-002-CTRL2M5","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2M6","HEEBO-002-CTRL2M6","POLR2A","polymerase (RNA) II (DNA directed) polypeptide A, 220kDa",5430
"HEEBO-002-CTRL2M7","HEEBO-002-CTRL2M7","TLN1","talin 1",7094
"HEEBO-002-CTRL2M8","HEEBO-002-CTRL2M8","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2N1","HEEBO-002-CTRL2N1","RPN2","ribophorin II",6185
"HEEBO-002-CTRL2N10","HEEBO-002-CTRL2N10","TLN1","talin 1",7094
"HEEBO-002-CTRL2N11","HEEBO-002-CTRL2N11","C20orf132","chromosome 20 open reading frame 132",140699
"HEEBO-002-CTRL2N12","HEEBO-002-CTRL2N12","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2N13","HEEBO-002-CTRL2N13","TLN1","talin 1",7094
"HEEBO-002-CTRL2N14","HEEBO-002-CTRL2N14","POLR2A","polymerase (RNA) II (DNA directed) polypeptide A, 220kDa",5430
"HEEBO-002-CTRL2N15","HEEBO-002-CTRL2N15","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2N16","HEEBO-002-CTRL2N16","TLN1","talin 1",7094
"HEEBO-002-CTRL2N18","HEEBO-002-CTRL2N18","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2N19","HEEBO-002-CTRL2N19","TLN1","talin 1",7094
"HEEBO-002-CTRL2N2","HEEBO-002-CTRL2N2","EEF2","eukaryotic translation elongation factor 2",1938
"HEEBO-002-CTRL2N20","HEEBO-002-CTRL2N20","","",NA
"HEEBO-002-CTRL2N21","HEEBO-002-CTRL2N21","TLN1","talin 1",7094
"HEEBO-002-CTRL2N22","HEEBO-002-CTRL2N22","TLN1","talin 1",7094
"HEEBO-002-CTRL2N23","HEEBO-002-CTRL2N23","TLN1","talin 1",7094
"HEEBO-002-CTRL2N24","HEEBO-002-CTRL2N24","TLN1","talin 1",7094
"HEEBO-002-CTRL2N3","HEEBO-002-CTRL2N3","GSN","gelsolin",2934
"HEEBO-002-CTRL2N4","HEEBO-002-CTRL2N4","RPN2","ribophorin II",6185
"HEEBO-002-CTRL2N5","HEEBO-002-CTRL2N5","EEF2","eukaryotic translation elongation factor 2",1938
"HEEBO-002-CTRL2N6","HEEBO-002-CTRL2N6","GSN","gelsolin",2934
"HEEBO-002-CTRL2N7","HEEBO-002-CTRL2N7","RPN2","ribophorin II",6185
"HEEBO-002-CTRL2N8","HEEBO-002-CTRL2N8","EEF2","eukaryotic translation elongation factor 2",1938
"HEEBO-002-CTRL2N9","HEEBO-002-CTRL2N9","GSN","gelsolin",2934
"HEEBO-002-CTRL2O1","HEEBO-002-CTRL2O1","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2O10","HEEBO-002-CTRL2O10","RPN2","ribophorin II",6185
"HEEBO-002-CTRL2O11","HEEBO-002-CTRL2O11","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2O12","HEEBO-002-CTRL2O12","POLR2A","polymerase (RNA) II (DNA directed) polypeptide A, 220kDa",5430
"HEEBO-002-CTRL2O13","HEEBO-002-CTRL2O13","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2O14","HEEBO-002-CTRL2O14","TLN1","talin 1",7094
"HEEBO-002-CTRL2O15","HEEBO-002-CTRL2O15","POLR2A","polymerase (RNA) II (DNA directed) polypeptide A, 220kDa",5430
"HEEBO-002-CTRL2O16","HEEBO-002-CTRL2O16","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2O17","HEEBO-002-CTRL2O17","TLN1","talin 1",7094
"HEEBO-002-CTRL2O18","HEEBO-002-CTRL2O18","POLR2A","polymerase (RNA) II (DNA directed) polypeptide A, 220kDa",5430
"HEEBO-002-CTRL2O19","HEEBO-002-CTRL2O19","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2O2","HEEBO-002-CTRL2O2","POLR2A","polymerase (RNA) II (DNA directed) polypeptide A, 220kDa",5430
"HEEBO-002-CTRL2O20","HEEBO-002-CTRL2O20","TLN1","talin 1",7094
"HEEBO-002-CTRL2O21","HEEBO-002-CTRL2O21","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2O22","HEEBO-002-CTRL2O22","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2O23","HEEBO-002-CTRL2O23","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2O24","HEEBO-002-CTRL2O24","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2O3","HEEBO-002-CTRL2O3","TLN1","talin 1",7094
"HEEBO-002-CTRL2O4","HEEBO-002-CTRL2O4","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2O5","HEEBO-002-CTRL2O5","POLR2A","polymerase (RNA) II (DNA directed) polypeptide A, 220kDa",5430
"HEEBO-002-CTRL2O6","HEEBO-002-CTRL2O6","TLN1","talin 1",7094
"HEEBO-002-CTRL2O7","HEEBO-002-CTRL2O7","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2O8","HEEBO-002-CTRL2O8","POLR2A","polymerase (RNA) II (DNA directed) polypeptide A, 220kDa",5430
"HEEBO-002-CTRL2O9","HEEBO-002-CTRL2O9","TLN1","talin 1",7094
"HEEBO-002-CTRL2P1","HEEBO-002-CTRL2P1","EEF2","eukaryotic translation elongation factor 2",1938
"HEEBO-002-CTRL2P10","HEEBO-002-CTRL2P10","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2P11","HEEBO-002-CTRL2P11","POLR2A","polymerase (RNA) II (DNA directed) polypeptide A, 220kDa",5430
"HEEBO-002-CTRL2P12","HEEBO-002-CTRL2P12","GSN","gelsolin",2934
"HEEBO-002-CTRL2P14","HEEBO-002-CTRL2P14","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2P15","HEEBO-002-CTRL2P15","TLN1","talin 1",7094
"HEEBO-002-CTRL2P16","HEEBO-002-CTRL2P16","POLR2A","polymerase (RNA) II (DNA directed) polypeptide A, 220kDa",5430
"HEEBO-002-CTRL2P17","HEEBO-002-CTRL2P17","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2P18","HEEBO-002-CTRL2P18","TLN1","talin 1",7094
"HEEBO-002-CTRL2P19","HEEBO-002-CTRL2P19","POLR2A","polymerase (RNA) II (DNA directed) polypeptide A, 220kDa",5430
"HEEBO-002-CTRL2P2","HEEBO-002-CTRL2P2","GSN","gelsolin",2934
"HEEBO-002-CTRL2P20","HEEBO-002-CTRL2P20","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-002-CTRL2P21","HEEBO-002-CTRL2P21","TLN1","talin 1",7094
"HEEBO-002-CTRL2P22","HEEBO-002-CTRL2P22","TLN1","talin 1",7094
"HEEBO-002-CTRL2P23","HEEBO-002-CTRL2P23","TLN1","talin 1",7094
"HEEBO-002-CTRL2P24","HEEBO-002-CTRL2P24","TLN1","talin 1",7094
"HEEBO-002-CTRL2P3","HEEBO-002-CTRL2P3","RPN2","ribophorin II",6185
"HEEBO-002-CTRL2P5","HEEBO-002-CTRL2P5","GSN","gelsolin",2934
"HEEBO-002-CTRL2P6","HEEBO-002-CTRL2P6","RPN2","ribophorin II",6185
"HEEBO-002-CTRL2P7","HEEBO-002-CTRL2P7","EEF2","eukaryotic translation elongation factor 2",1938
"HEEBO-002-CTRL2P8","HEEBO-002-CTRL2P8","GSN","gelsolin",2934
"HEEBO-002-CTRL2P9","HEEBO-002-CTRL2P9","RPN2","ribophorin II",6185
"HEEBO-003-CTRL3A1","HEEBO-003-CTRL3A1","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3A10","HEEBO-003-CTRL3A10","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3A11","HEEBO-003-CTRL3A11","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3A13","HEEBO-003-CTRL3A13","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3A14","HEEBO-003-CTRL3A14","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3A15","HEEBO-003-CTRL3A15","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3A16","HEEBO-003-CTRL3A16","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3A17","HEEBO-003-CTRL3A17","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3A18","HEEBO-003-CTRL3A18","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3A2","HEEBO-003-CTRL3A2","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3A3","HEEBO-003-CTRL3A3","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3A4","HEEBO-003-CTRL3A4","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3A6","HEEBO-003-CTRL3A6","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3A7","HEEBO-003-CTRL3A7","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3A8","HEEBO-003-CTRL3A8","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3A9","HEEBO-003-CTRL3A9","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3B1","HEEBO-003-CTRL3B1","TLN1","talin 1",7094
"HEEBO-003-CTRL3B10","HEEBO-003-CTRL3B10","TLN1","talin 1",7094
"HEEBO-003-CTRL3B11","HEEBO-003-CTRL3B11","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3B12","HEEBO-003-CTRL3B12","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3B13","HEEBO-003-CTRL3B13","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3B14","HEEBO-003-CTRL3B14","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3B15","HEEBO-003-CTRL3B15","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3B16","HEEBO-003-CTRL3B16","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3B17","HEEBO-003-CTRL3B17","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3B18","HEEBO-003-CTRL3B18","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3B2","HEEBO-003-CTRL3B2","TLN1","talin 1",7094
"HEEBO-003-CTRL3B3","HEEBO-003-CTRL3B3","TLN1","talin 1",7094
"HEEBO-003-CTRL3B4","HEEBO-003-CTRL3B4","TLN1","talin 1",7094
"HEEBO-003-CTRL3B5","HEEBO-003-CTRL3B5","TLN1","talin 1",7094
"HEEBO-003-CTRL3B6","HEEBO-003-CTRL3B6","TLN1","talin 1",7094
"HEEBO-003-CTRL3B8","HEEBO-003-CTRL3B8","TLN1","talin 1",7094
"HEEBO-003-CTRL3B9","HEEBO-003-CTRL3B9","TLN1","talin 1",7094
"HEEBO-003-CTRL3C1","HEEBO-003-CTRL3C1","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3C10","HEEBO-003-CTRL3C10","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3C11","HEEBO-003-CTRL3C11","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3C12","HEEBO-003-CTRL3C12","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3C13","HEEBO-003-CTRL3C13","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3C14","HEEBO-003-CTRL3C14","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3C15","HEEBO-003-CTRL3C15","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3C16","HEEBO-003-CTRL3C16","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3C17","HEEBO-003-CTRL3C17","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3C18","HEEBO-003-CTRL3C18","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3C2","HEEBO-003-CTRL3C2","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3C3","HEEBO-003-CTRL3C3","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3C4","HEEBO-003-CTRL3C4","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3C5","HEEBO-003-CTRL3C5","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3C6","HEEBO-003-CTRL3C6","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3C7","HEEBO-003-CTRL3C7","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3C8","HEEBO-003-CTRL3C8","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3C9","HEEBO-003-CTRL3C9","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3D1","HEEBO-003-CTRL3D1","TLN1","talin 1",7094
"HEEBO-003-CTRL3D10","HEEBO-003-CTRL3D10","TLN1","talin 1",7094
"HEEBO-003-CTRL3D11","HEEBO-003-CTRL3D11","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3D12","HEEBO-003-CTRL3D12","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3D13","HEEBO-003-CTRL3D13","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3D14","HEEBO-003-CTRL3D14","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3D15","HEEBO-003-CTRL3D15","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3D16","HEEBO-003-CTRL3D16","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3D17","HEEBO-003-CTRL3D17","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3D18","HEEBO-003-CTRL3D18","LRP1","low density lipoprotein receptor-related protein 1",4035
"HEEBO-003-CTRL3D2","HEEBO-003-CTRL3D2","TLN1","talin 1",7094
"HEEBO-003-CTRL3D3","HEEBO-003-CTRL3D3","TLN1","talin 1",7094
"HEEBO-003-CTRL3D4","HEEBO-003-CTRL3D4","TLN1","talin 1",7094
"HEEBO-003-CTRL3D5","HEEBO-003-CTRL3D5","TLN1","talin 1",7094
"HEEBO-003-CTRL3D6","HEEBO-003-CTRL3D6","TLN1","talin 1",7094
"HEEBO-003-CTRL3D7","HEEBO-003-CTRL3D7","TLN1","talin 1",7094
"HEEBO-003-CTRL3D8","HEEBO-003-CTRL3D8","TLN1","talin 1",7094
"HEEBO-003-CTRL3D9","HEEBO-003-CTRL3D9","TLN1","talin 1",7094
"HEEBO-003-CTRL3M16","HEEBO-003-CTRL3M16","ANXA7","annexin A7",310
"HEEBO-003-CTRL3M19","HEEBO-003-CTRL3M19","ANXA7","annexin A7",310
"HEEBO-003-CTRL3M20","HEEBO-003-CTRL3M20","OCRL","oculocerebrorenal syndrome of Lowe",4952
"HEEBO-003-CTRL3M21","HEEBO-003-CTRL3M21","OCRL","oculocerebrorenal syndrome of Lowe",4952
"HEEBO-003-CTRL3M22","HEEBO-003-CTRL3M22","OCRL","oculocerebrorenal syndrome of Lowe",4952
"HEEBO-003-CTRL3M23","HEEBO-003-CTRL3M23","OCRL","oculocerebrorenal syndrome of Lowe",4952
"HEEBO-003-CTRL3M24","HEEBO-003-CTRL3M24","OCRL","oculocerebrorenal syndrome of Lowe",4952
"HEEBO-003-CTRL3N16","HEEBO-003-CTRL3N16","ANXA7","annexin A7",310
"HEEBO-003-CTRL3N19","HEEBO-003-CTRL3N19","ANXA7","annexin A7",310
"HEEBO-003-CTRL3N20","HEEBO-003-CTRL3N20","ANXA7","annexin A7",310
"HEEBO-003-CTRL3N21","HEEBO-003-CTRL3N21","OCRL","oculocerebrorenal syndrome of Lowe",4952
"HEEBO-003-CTRL3N22","HEEBO-003-CTRL3N22","OCRL","oculocerebrorenal syndrome of Lowe",4952
"HEEBO-003-CTRL3N23","HEEBO-003-CTRL3N23","OCRL","oculocerebrorenal syndrome of Lowe",4952
"HEEBO-003-CTRL3N24","HEEBO-003-CTRL3N24","OCRL","oculocerebrorenal syndrome of Lowe",4952
"HEEBO-003-CTRL3O15","HEEBO-003-CTRL3O15","ANXA7","annexin A7",310
"HEEBO-003-CTRL3O16","HEEBO-003-CTRL3O16","ANXA7","annexin A7",310
"HEEBO-003-CTRL3O17","HEEBO-003-CTRL3O17","ANXA7","annexin A7",310
"HEEBO-003-CTRL3O18","HEEBO-003-CTRL3O18","ANXA7","annexin A7",310
"HEEBO-003-CTRL3O19","HEEBO-003-CTRL3O19","ANXA7","annexin A7",310
